match_id,season,team,player,runs,balls_faced,strike_rate,wickets,fours,sixes
1,2019,RCB,Virat Kohli,13,13,100.0,2,0,0
1,2019,RCB,Faf du Plessis,36,36,100.0,0,2,0
1,2019,RCB,Glenn Maxwell,4,4,100.0,0,0,0
1,2019,RCB,Mohammed Siraj,1,1,100.0,1,0,0
1,2019,RCB,Dinesh Karthik,25,25,100.0,0,1,0
1,2019,DC,David Warner,0,0,0.0,3,0,0
1,2019,DC,Prithvi Shaw,50,50,100.0,0,3,1
1,2019,DC,Axar Patel,5,5,100.0,0,0,0
1,2019,DC,Anrich Nortje,10,10,100.0,0,0,0
1,2019,DC,Rishabh Pant,15,15,100.0,0,1,0
2,2019,RCB,Virat Kohli,26,29,89.66,0,1,0
2,2019,RCB,Faf du Plessis,9,9,100.0,0,0,0
2,2019,RCB,Glenn Maxwell,17,17,100.0,1,1,0
2,2019,RCB,Mohammed Siraj,6,6,100.0,0,0,0
2,2019,RCB,Dinesh Karthik,25,25,100.0,0,1,0
2,2019,RR,Sanju Samson,26,27,96.3,0,1,0
2,2019,RR,Jos Buttler,1,1,100.0,2,0,0
2,2019,RR,Yashasvi Jaiswal,94,94,100.0,1,7,2
2,2019,RR,Trent Boult,10,10,100.0,0,0,0
2,2019,RR,Ravichandran Ashwin,32,32,100.0,0,2,0
3,2019,SRH,Shikhar Dhawan,3,3,100.0,0,0,0
3,2019,SRH,Abhishek Sharma,0,4,0.0,1,0,0
3,2019,SRH,Umran Malik,8,8,100.0,0,0,0
3,2019,SRH,Marco Jansen,10,11,90.91,0,0,0
3,2019,SRH,Heinrich Klaasen,22,24,91.67,0,1,0
3,2019,RR,Sanju Samson,97,97,100.0,1,7,2
3,2019,RR,Jos Buttler,78,78,100.0,1,5,1
3,2019,RR,Yashasvi Jaiswal,25,25,100.0,2,1,0
3,2019,RR,Trent Boult,2,2,100.0,0,0,0
3,2019,RR,Ravichandran Ashwin,1,1,100.0,0,0,0
4,2019,MI,Rohit Sharma,13,15,86.67,0,0,0
4,2019,MI,Ishan Kishan,49,49,100.0,0,3,1
4,2019,MI,Suryakumar Yadav,9,11,81.82,0,0,0
4,2019,MI,Jasprit Bumrah,4,4,100.0,1,0,0
4,2019,MI,Hardik Pandya,2,2,100.0,3,0,0
